Player,Team,POS,ATT,RUSH_YDS,RUSH_TDS,REC,REC_YDS,REC_TDS,FL,FPTS
Saquon Barkley,PHI,RB1,327.8,1661.5,10.8,41.9,318.2,2.2,1.4,273.1
Bijan Robinson,ATL,RB2,299.3,1401.2,11.3,56.9,428.2,2.1,1.4,260.6
Jahmyr Gibbs,DET,RB3,239.9,1239.5,11.7,57.7,508.8,2.8,1.3,258.9
Derrick Henry,BAL,RB4,295.2,1508.5,13.3,16.4,153.1,0.9,1.4,248.4
Ja'Marr Chase,CIN,WR1,1.6,12.7,0,120.7,1577.6,12.2,0.6,231.2
Christian McCaffrey,SF,RB5,233.2,1062.6,7.9,65.1,570.1,3.6,1.8,228.4
Josh Jacobs,GB,RB6,284.2,1211.8,11.3,38.1,316,1.5,1.5,226.1
De'Von Achane,MIA,RB7,218.6,1014.8,7.6,69.1,510.8,4.1,1.3,220.2
Ashton Jeanty,LV,RB8,273,1204,9,46.3,366.3,1.9,2.4,217.4
Jonathan Taylor,IND,RB9,297.7,1359.2,9.6,25.7,194.4,1.1,1.6,216.5
Kyren Williams,LAR,RB10,275.7,1192.4,11.2,33.7,213.8,1.7,2.3,213
Justin Jefferson,MIN,WR2,0.5,2.2,0,106.4,1478.7,9.7,0.6,205.1
Bucky Irving,TB,RB11,234.7,1110.7,8.3,44.4,343.3,1.7,1.4,202.5
Chase Brown,CIN,RB12,234.6,984,7.8,54,377.5,2.7,1.4,196.3
James Cook,BUF,RB13,222,1049.7,9.5,31.4,258.5,1.9,1.4,196.1
CeeDee Lamb,DAL,WR3,9.2,59.4,0.3,111.7,1391.5,8,1,193
Puka Nacua,LAR,WR4,10.7,61.4,0.6,105.7,1374.1,7,0.6,187.7
Nico Collins,HOU,WR5,0,1.6,0,92,1313.4,8.9,0.5,183.5
Malik Nabers,NYG,WR6,2.6,12.2,0,106.6,1338.2,8.2,0.6,183.3
James Conner,ARI,RB14,213.9,971.1,7.8,41.2,314.9,1.7,1.4,182.6
Breece Hall,NYJ,RB15,224.5,1000,5.9,46.7,383.8,2.1,1.9,182.6
Kenneth Walker III,SEA,RB16,234.8,968.3,8.2,43.3,309.2,1.3,1.3,182
Brian Thomas Jr.,JAC,WR7,3.8,25.1,0,91.6,1285.4,8.6,0.6,181.4
Amon-Ra St. Brown,DET,WR8,1.9,12.6,0.1,110.4,1267.6,9.1,0.9,180.8
Alvin Kamara,NO,RB17,215.5,903.5,5.1,63,475.6,2,1.3,178
Omarion Hampton,LAC,RB18,213,938.2,8.3,36.4,281.4,1.6,2.1,177
Chuba Hubbard,CAR,RB19,229.8,1031.9,7.6,37.8,229.8,1.1,1.8,174.3
A.J. Brown,PHI,WR9,0,0,0,84.8,1244.6,8.4,0.9,172.8
Tyreek Hill,MIA,WR10,7.2,40.3,0.1,94.2,1184.5,7.7,0.6,168.5
Drake London,ATL,WR11,0.3,2,0,94.5,1204.7,7.9,0.6,167.1
D'Andre Swift,CHI,RB20,238.7,967.1,6.1,36.7,283,1.2,1.1,167
Ladd McConkey,LAC,WR12,0,1.4,0,91.3,1219,7.4,0.7,165.2
David Montgomery,DET,RB21,196.6,819,8.9,31.4,258.5,0.9,1,164.5
Mike Evans,TB,WR13,0,0,0,79.2,1063.4,9.9,0.5,164.5
Tee Higgins,CIN,WR14,0,0,0,86.6,1093.9,8.9,0.9,161.1
Aaron Jones Sr.,MIN,RB22,201.6,903.1,4.6,44.3,327.8,2.2,1.8,160.4
Terry McLaurin,WAS,WR15,1.1,4.8,0,83.6,1115.2,8.2,0.9,159.7
Davante Adams,LAR,WR16,0.3,0,0,85.4,1101.6,8.3,0.5,159.2
Joe Mixon,HOU,RB23,206.7,822.4,7.5,33.4,258.6,1.3,0.9,159.2
Tony Pollard,TEN,RB24,227.5,958.5,5.4,40.2,257.9,0.9,1,157.2
TreVeyon Henderson,NE,RB25,202.4,891.8,5.7,33.3,258.5,1.5,1.7,154.8
Marvin Harrison Jr.,ARI,WR17,0,3.2,0,79.6,1098.9,7.7,1,154.5
DK Metcalf,PIT,WR18,0,1.2,0,76.8,1128.9,7.3,1.3,154
Jaxon Smith-Njigba,SEA,WR19,2.6,17.7,0,94.9,1112,6.6,0.6,151.6
Brock Bowers,LV,TE1,0,8,0,106,1131.4,6.1,0.5,149.7
George Kittle,SF,TE2,0,0,0,76.1,1037.1,7.5,0.5,147.6
Brian Robinson Jr.,WAS,RB26,196.7,809.6,7.3,23.4,175.7,1,1.4,145.6
Kaleb Johnson,PIT,RB27,202.7,858.1,6.6,23.2,178.1,1,1.7,145.6
Xavier Worthy,KC,WR20,15.7,84.6,1.5,70.5,864.2,7.1,0.5,145.6
Zay Flowers,BAL,WR21,8.2,48.4,0.1,74.9,1028.7,6.3,0.5,145.2
Isiah Pacheco,KC,RB28,203.7,838.2,5.7,32.9,222.6,1,1,144.6
Garrett Wilson,NYJ,WR22,1.9,13.5,0,91.7,1095.9,6,1.3,144.5
Courtland Sutton,DEN,WR23,0,0.2,0,76.7,1016.3,7.4,0.9,144.3
DJ Moore,CHI,WR24,9.5,54,0.1,86.7,1007.6,6.3,0.9,142.7
Calvin Ridley,TEN,WR25,5.6,33.4,0.3,70.1,1027,6,0.9,141.9
Jameson Williams,DET,WR26,7.4,63.4,0.8,60.4,958.2,6,0.5,141.6
RJ Harvey,DEN,RB29,174,761.6,5.2,33.6,257.3,1.6,1,140.9
Trey McBride,ARI,TE3,0,1.5,0,104.4,1053.2,5.8,0.5,139.4
Tyrone Tracy Jr.,NYG,RB30,188.6,801.6,5,35.2,259.4,1.1,1.6,139.1
DeVonta Smith,PHI,WR27,0.3,1.2,0,81.2,977.6,6.8,0.5,137.7
George Pickens,DAL,WR28,1,6.2,0,68.4,999.9,6.4,0.9,137.1
Jerry Jeudy,CLE,WR29,0.3,4.8,0,80.9,1088.1,4.1,0.6,132.7
Deebo Samuel Sr.,WAS,WR30,30.1,127.9,1.2,65.1,834.4,5.1,1,132.2
Jaylen Warren,PIT,RB31,148.8,677.1,3.8,47.1,343.1,1.1,1,129
Jakobi Meyers,LV,WR31,1.2,8.9,0,82.4,966.3,5.3,0.5,128.5
Jaylen Waddle,MIA,WR32,2.5,15.9,0.1,75.5,965.1,4.9,0.5,126.6
Jauan Jennings,SF,WR33,3.6,15.7,0.1,70.1,924.4,5.5,0.6,126.3
Jayden Reed,GB,WR34,11.8,93.7,0.7,58.6,783.8,5.7,0.9,124.7
Matthew Golden,GB,WR35,0.7,11.8,0,61.4,867.6,6,0.8,122.2
Travis Hunter,JAC,WR36,3.8,21.8,0.1,68.3,883.1,5.2,0.8,120.7
Tetairoa McMillan,CAR,WR37,0.5,7.4,0,70.3,907.2,5.3,1.2,120.7
Chris Godwin,TB,WR38,1.2,6.9,0,75,862.2,5.6,0.6,119.6
Rome Odunze,CHI,WR39,1.3,8,0,65.6,880.3,5.4,0.9,119.2
